,city,country,id,date,latitude,longitude,temp,cloudiness,wind speed,humidity
112,Pacific Grove,US,5380437,10/28/19 13:14,36.62,-121.92,57.36200000000006,1,2.1,33
113,Sorata,BO,3904043,10/28/19 13:18,-15.77,-68.65,50.648000000000025,94,2.75,39
114,Mar del Plata,AR,3863379,10/28/19 13:18,-46.43,-67.52,53.06000000000008,89,5.25,44
115,Northam,AU,2064550,10/28/19 13:18,-31.65,116.67,59.0,100,0.5,93
116,Srednekolymsk,RU,2121025,10/28/19 13:15,67.46,153.71,-5.169999999999959,0,3.61,88
117,Nome,US,4732862,10/28/19 13:18,30.04,-94.42,70.77200000000003,40,2.6,73
118,Khani,GE,610864,10/28/19 13:18,41.96,42.96,53.6,0,1.5,93
119,Pravia,ES,6359954,10/28/19 13:18,43.49,-6.11,67.22600000000008,40,1.5,68
120,Butaritari,KI,2110227,10/28/19 13:18,3.07,172.79,84.48800000000004,85,4.77,70
121,Hasaki,JP,2112802,10/28/19 13:16,35.73,140.83,56.354000000000056,75,3.6,77
122,Rio Gallegos,AR,3838859,10/28/19 13:18,-51.62,-69.22,51.8,75,5.1,29
123,Georgetown,GY,3378644,10/28/19 13:16,6.8,-58.16,87.8,40,4.1,74
124,Nhulunbuy,AU,2064735,10/28/19 13:18,-12.18,136.78,75.2,75,1.0,88
125,Ursulo Galvan,MX,3521168,10/28/19 13:18,20.6,-97.44,82.4,75,2.1,65
126,Namatanai,PG,2090021,10/28/19 13:18,-3.66,152.44,81.89600000000004,65,1.78,77
127,Port Alfred,ZA,964432,10/28/19 13:16,-33.59,26.89,60.998000000000026,51,4.92,71
128,Adrar,DZ,2508813,10/28/19 13:18,27.87,-0.29,82.4,0,7.7,21
129,Bethel,US,5880568,10/28/19 13:18,60.79,-161.76,39.2,90,1.5,86
130,Santa Cruz de Tenerife,ES,2511174,10/28/19 13:13,28.47,-16.25,79.44800000000002,0,3.6,57
131,Novopskov,UA,699311,10/28/19 13:18,49.54,39.1,50.68399999999999,5,2.22,79
133,San Marcos,GT,3589805,10/28/19 13:18,14.97,-91.79,80.78000000000004,40,3.1,66
135,Cockburn Town,TC,3576994,10/28/19 13:18,21.46,-71.14,82.31000000000009,65,7.65,79
136,Saint George,GR,262462,10/28/19 13:18,39.45,22.34,65.91200000000006,0,2.1,77
137,Lebu,ET,344979,10/28/19 13:18,8.96,38.73,62.6,40,3.1,48
138,Meulaboh,ID,1214488,10/28/19 13:15,4.14,96.13,78.78200000000001,100,3.37,83
139,Bachaquero,VE,3648698,10/28/19 13:18,9.96,-71.12,88.52000000000007,84,2.06,63
140,Kavaratti,IN,1267390,10/28/19 13:18,10.57,72.64,82.02200000000003,44,1.05,71
141,Rio Branco,BR,3662574,10/28/19 13:18,-9.98,-67.82,86.0,75,4.6,70
143,Balfour,US,4453570,10/28/19 13:18,35.35,-82.47,70.28600000000007,1,3.6,49
144,Bautar,RO,685245,10/28/19 13:18,45.52,22.57,51.674000000000014,52,0.97,66
145,Nalut,LY,2214433,10/28/19 13:18,31.86,10.98,69.26000000000008,70,3.86,65
147,Nikolskoye,RU,546105,10/28/19 13:18,59.7,30.79,30.97400000000001,56,2.0,81
149,Svetlogorsk,RU,584051,10/28/19 13:18,53.14,59.15,57.2,75,12.0,54
150,Dikson,RU,1507390,10/28/19 13:18,73.51,80.55,7.052000000000078,100,7.92,92
151,Terra Santa,BR,3386467,10/28/19 13:18,-2.1,-56.49,98.87000000000006,95,2.95,31
152,Coquimbo,CL,3893629,10/28/19 13:18,-29.95,-71.34,66.2,100,7.7,48
153,Susanville,US,5572400,10/28/19 13:18,40.42,-120.65,39.00200000000008,28,1.43,29
154,Ukiah,US,5404476,10/28/19 13:18,39.15,-123.21,57.50600000000003,8,0.45,20
155,Leningradskiy,RU,2123814,10/28/19 13:18,69.38,178.42,17.33000000000004,100,17.4,89
156,Ancud,CL,3899695,10/28/19 13:18,-41.87,-73.83,48.2,90,7.2,100
157,Kavieng,PG,2094342,10/28/19 13:18,-2.57,150.8,82.99400000000007,3,0.88,72
158,Campoverde,EC,3654870,10/28/19 13:18,-0.91,-78.62,65.04800000000003,75,8.7,52
159,Vestmanna,FO,2610343,10/28/19 13:18,62.16,-7.17,35.6,89,3.1,80
160,Chokurdakh,RU,2126123,10/28/19 13:16,70.62,147.9,-5.313999999999979,1,1.27,93
161,Saiha,IN,1257771,10/28/19 13:18,22.49,92.98,65.066,12,1.19,93
162,Sao Felix do Xingu,BR,3388847,10/28/19 13:18,-6.64,-51.99,94.94600000000005,95,1.72,35
163,Luau,CD,876177,10/28/19 13:18,-10.7,22.23,70.53800000000004,36,1.43,81
164,Port Lincoln,AU,2063036,10/28/19 13:18,-34.72,135.86,57.97400000000001,0,3.83,56
165,Kahului,US,5847411,10/28/19 13:18,20.89,-156.47,72.44600000000005,40,3.1,78
166,Anadyr,RU,2127202,10/28/19 13:18,64.73,177.51,12.091999999999995,0,6.0,78
169,Ribeira Grande,PT,3372707,10/28/19 13:16,38.52,-28.7,66.2,75,8.2,82
171,Svetlaya,RU,2015852,10/28/19 13:18,46.54,138.33,45.733999999999995,51,1.82,64
173,Bathsheba,BB,3374083,10/28/19 13:18,13.22,-59.52,89.6,40,7.2,62
174,Bikin,RU,2026696,10/28/19 13:18,46.82,134.25,36.55400000000005,99,2.63,75
175,Ninove,BE,2790115,10/28/19 13:18,50.84,4.02,49.658,62,1.5,76
177,Christchurch,NZ,2192362,10/28/19 13:18,-43.53,172.64,45.96800000000009,24,3.1,57
178,Senanga,ZM,898947,10/28/19 13:18,-16.1,23.3,83.80400000000006,35,0.78,30
179,Bluff,AU,2175403,10/28/19 13:16,-23.58,149.07,67.56800000000008,57,4.75,83
180,San Patricio,PY,3437029,10/28/19 13:18,-26.98,-56.83,102.81200000000005,0,5.05,29
181,Severo-Kurilsk,RU,2121385,10/28/19 13:18,50.68,156.12,35.52800000000006,100,4.82,97
182,Khatanga,RU,2022572,10/28/19 13:16,71.98,102.47,7.016000000000009,22,8.05,78
183,Yar-Sale,RU,1486321,10/28/19 13:16,66.83,70.83,6.152000000000079,89,2.12,95
184,Flinders,AU,6255012,10/28/19 13:18,-34.58,150.85,52.592,0,2.1,100
185,Ciudad Bolivar,VE,3645532,10/28/19 13:18,8.12,-63.55,91.54400000000007,61,2.89,46
186,Muravlenko,RU,1540711,10/28/19 13:18,63.79,74.5,0.35600000000003007,25,1.57,92
187,Doha,QA,290030,10/28/19 13:18,25.29,51.53,87.83600000000007,1,2.6,58
188,Salalah,OM,286621,10/28/19 13:18,17.01,54.1,82.4,94,2.1,37
190,French Harbor,HN,3609667,10/28/19 13:18,16.35,-86.43,86.0,40,7.2,79
191,Tarbes,FR,2973385,10/28/19 13:18,43.23,0.08,64.47200000000004,90,2.1,82
192,Wasilla,US,5877641,10/28/19 13:18,61.58,-149.44,42.69199999999999,90,3.6,70
193,Saint-Georges,CA,6295855,10/28/19 13:18,46.12,-70.67,47.73200000000001,99,0.45,100
194,Skagen,SE,2696329,10/28/19 13:18,58.6,13.44,34.80800000000001,18,2.6,74
195,Ushtobe,KZ,1517637,10/28/19 13:18,45.25,77.98,51.242,71,2.17,33
196,Boyolangu,ID,1648082,10/28/19 13:18,-8.09,111.9,70.95200000000008,69,1.68,93
197,Thompson,CA,6165406,10/28/19 13:18,55.74,-97.86,21.2,90,7.7,79
198,Hue,VN,1580240,10/28/19 13:18,16.47,107.58,78.8,40,1.5,88
200,Awjilah,LY,88533,10/28/19 13:18,29.14,21.3,72.75200000000008,30,3.73,26
201,Robertsport,LR,2274275,10/28/19 13:18,6.75,-11.37,81.19400000000007,18,5.02,79
202,Zirandaro,MX,3979647,10/28/19 13:18,18.45,-100.98,89.90600000000003,43,0.23,57
203,Kayerkan,RU,1497337,10/28/19 13:18,69.35,87.76,15.8,75,4.0,92
204,Axim,GH,2303611,10/28/19 13:18,4.87,-2.24,77.30600000000003,80,2.41,87
205,Provideniya,RU,4031574,10/28/19 13:18,64.42,-173.23,27.914000000000033,100,5.02,91
206,Ulaanbaatar,MN,2028462,10/28/19 13:18,47.92,106.92,15.8,0,1.0,85
207,Talnakh,RU,1490256,10/28/19 13:18,69.49,88.39,15.8,75,4.0,92
208,Castro,CL,3896218,10/28/19 13:15,-42.48,-73.76,48.2,90,7.2,100
209,Tuktoyaktuk,CA,6170031,10/28/19 13:18,69.44,-133.03,23.0,90,10.3,73
210,Victoria,BN,1733782,10/28/19 13:18,5.28,115.24,77.0,90,3.6,88
211,Ughelli,NG,2320829,10/28/19 13:18,5.49,6.0,73.50800000000001,100,1.13,96
